Num. articolo,<FONT size=3.5>Quantità,<FONT size=3.5>Num. parte,Descrizione
1,1,Print plate holder,L-shaped aluminim plate. 8mm thickness
2,2,LHBBW12_2_14b,Case unit 12mm (complete with bearings)
3,1,MTSFR12 12x2 NUT,Bronze nut 12x2
4,4,Socket head cap screw,M4x15
5,2,PFSJ12-355,12mm precision shaft 355mm
6,4,SHA12-Kit,12mm shaft support (M5 kit)
7,1,MTSBRA12-330-S10-Q8,12x2 Trapezoidal screw 330mm length
8,1,CPJC20-RD-5-8,5mm to 8mm coupler
9,1,z-stepper plate,
10,2,M6x10,Socket head cap screw 
11,2,HNTF6-5,post-assembly M5 nut
12,4,M3x10,M3x10
13,2,standoff,M3x6 standoff
14,1,Mech endstop,
15,2,M3x8,
16,8,Socket head cap screw,M5x20
17,8,Plain washer,M3 washer
